idx,name,title,cate,source
453,하윤서,전문강사,"경영/조직, 리더십,소통, 커뮤니케이션, 스피치,교육, 인성, 법정의무교육",https://www.hooh.kr/sub/teacher/next.asp?m_idx=453
454,신동휴,한국자산관리 연구소 대표,"경제, 자산관리, 부동산, 재테크, 경매, 노후",https://www.hooh.kr/sub/teacher/next.asp?m_idx=454
443,김광현,"서울대학교 건축학과 명예교수, 건축가","인문학, 예술, 문화, 한국사",https://www.hooh.kr/sub/teacher/next.asp?m_idx=443
445,강재헌,의사,"건강, 비만, 식이요법, 의학",https://www.hooh.kr/sub/teacher/next.asp?m_idx=445
446,전병준,중앙대학교 교수,"경영, 리더십, 조직관리,소통",https://www.hooh.kr/sub/teacher/next.asp?m_idx=446
426,복주환,생각정리클래스 대표,"소통, 커뮤니케이션, 스피치,교육, 공부법, 독서법, 글쓰기,창의/마케팅, 창의력",https://www.hooh.kr/sub/teacher/next.asp?m_idx=426
427,최용진,한국퍼실리데이션협회 이사장,"경영/조직, 리더십, 조직문화, 조직관리, 조직활성화, 창업,소통, 커뮤니케이션,건강, 스트레스,취업, 진로",https://www.hooh.kr/sub/teacher/next.asp?m_idx=427
436,박용환,하랑한의원 원장,"건강, 스트레스, 비만, 식이요법, 한의학",https://www.hooh.kr/sub/teacher/next.asp?m_idx=436
437,송인혁,작가,"동기부여, 열정,AI/미래, 트렌드,경영/조직, 조직문화, 혁신, 조직활성화, 변화,소통, 커뮤니케이션,창의/마케팅, 상상력, 창의력, 광고, 마케팅, 콘텐츠",https://www.hooh.kr/sub/teacher/next.asp?m_idx=437
430,조용호,글로벌미래교육원 원장(대표이사),"AI/미래, Ai(인공지능), 산업,인문학, 뇌과학,취업, 인생이모작",https://www.hooh.kr/sub/teacher/next.asp?m_idx=430
431,이지희,(주)글로벌에스엠아이 대표이사,"동기부여, 꿈, 비전,경영/조직, 리더십, 조직활성화, 협력, 협업, 상생,소통, 커뮤니케이션, 스피치,힐링, 나눔, 봉사",https://www.hooh.kr/sub/teacher/next.asp?m_idx=431
432,김진혁,EBS프로듀서,"인문학, 문화,소통, 커뮤니케이션,창의/마케팅, 창의력, 콘텐츠,사회/환경",https://www.hooh.kr/sub/teacher/next.asp?m_idx=432
433,이폼,이폼 공간 스타일링 대표,"힐링, 행복",https://www.hooh.kr/sub/teacher/next.asp?m_idx=433
434,전원책,"변호사, 시인","인문학, 문학,힐링, 종교,사회/환경, 정치, 남북관계, 국제정세",https://www.hooh.kr/sub/teacher/next.asp?m_idx=434
384,반이정,미술평론가,"동기부여, 성공,인문학, 미술, 예술, 세계",https://www.hooh.kr/sub/teacher/next.asp?m_idx=384
385,황상민,심리학자,"소통,건강, 스트레스, 심리, 정신,힐링, 행복, 마음",https://www.hooh.kr/sub/teacher/next.asp?m_idx=385
386,구본권,한겨레신문사 선임기자,"AI/미래, 디지털기술, IT, Ai(인공지능), 로봇,인문학, 철학,교육, 자녀교육, 부모교육",https://www.hooh.kr/sub/teacher/next.asp?m_idx=386
387,정범희,생각트레이닝 연구소 소장,"동기부여, 자기관리, 삶의자세, 자기계발, 마인드셋",https://www.hooh.kr/sub/teacher/next.asp?m_idx=387
388,이승주,"화가, 텍스타일 디자이너","동기부여, 열정, 도전, 자기계발, 꿈,인문학, 미술, 예술,창의/마케팅, SNS, 디자인,취업, 진로",https://www.hooh.kr/sub/teacher/next.asp?m_idx=388
389,윤성임,소셜앤비즈 대표,"AI/미래, 트렌드, 디지털기술, IT, Ai(인공지능), 빅데이터, 미래기술, 사물인터넷, 산업, 융합, 메타버스,경영/조직, 창업,창의/마케팅, 광고, 마케팅, 콘텐츠, SNS,취업, 진로, 직업관",https://www.hooh.kr/sub/teacher/next.asp?m_idx=389
390,홍의숙,인코칭 회장,"경영/조직, 리더십, 조직문화, 조직관리, 조직활성화, CEO, 협력, 협업, 상생,소통, 커뮤니케이션",https://www.hooh.kr/sub/teacher/next.asp?m_idx=390
419,조경민,"야생형 마케터, 우주비행사 대표","동기부여, 열정, 도전, 성공, 삶의자세, 자기계발, 꿈, 비전,경영/조직, 창업, 스타트업,창의/마케팅, 마케팅, 콘텐츠",https://www.hooh.kr/sub/teacher/next.asp?m_idx=419
420,양정숙,위로 (Wero) 대표,"동기부여, 인생스토리, 도전, 삶의자세, 꿈, 마인드셋,교육, 부모교육,힐링, 희망, 행복, 마음",https://www.hooh.kr/sub/teacher/next.asp?m_idx=420
421,강주원,"작가, 러너, 유튜버","동기부여, 열정, 도전, 자기관리, 삶의자세, 자기계발, 꿈, 비전, 마인드셋,경영/조직, 창업, 스타트업,건강, 운동,힐링, 여행,취업, 진로",https://www.hooh.kr/sub/teacher/next.asp?m_idx=421
422,유열,"가수, 뮤지컬 제작자","동기부여,인문학, 문화,교육, 자녀교육, 부모교육,힐링, 행복",https://www.hooh.kr/sub/teacher/next.asp?m_idx=422
424,박상배,작가,"동기부여, 자기관리, 자기계발,경영/조직, 리더십, 목표관리,교육, 독서법",https://www.hooh.kr/sub/teacher/next.asp?m_idx=424
