goIdx,name,category,catNo,desc,source
596,이소정,가수,81,독보적 존재감과 풍부한 음색으로 울림을 선사하는 브로드웨이 여신 '이소정',https://www.artsro.com/right/enter_view.html?GoIdx=596&CatNo=81
279,김소현,가수,81,"뮤지컬 ‘엘리자벳’, ‘명성황후’, ‘팬텀’ 등 대형 작품의 여주인공으로 출연한 대한민국 뮤지컬계를 대표하는 여배우",https://www.artsro.com/right/enter_view.html?GoIdx=279&CatNo=81
386,손준호,가수,81,신화가 다시 시작된다. 전율을 선사한다 매력적인 배우 '손준호',https://www.artsro.com/right/enter_view.html?GoIdx=386&CatNo=81
208,듀에토,가수,81,국내최초 얼굴로 승부하는 크로스오버 듀엣 그룹.,https://www.artsro.com/right/enter_view.html?GoIdx=208&CatNo=81
392,카이(KAI),가수,81,대한민국을 넘어 전세계가 바라본다 바보박사 '카이',https://www.artsro.com/right/enter_view.html?GoIdx=392&CatNo=81
276,김소향,가수,81,치명적이지만 사랑스러운‘마타하리’역으로 큰사랑을 받았던 배우,https://www.artsro.com/right/enter_view.html?GoIdx=276&CatNo=81
623,리사,가수,81,"뮤지컬, 가수, 화가까지 다재다능 멀티플레이어 '리사'",https://www.artsro.com/right/enter_view.html?GoIdx=623&CatNo=81
611,차지연,가수,81,호소력 짙은 목소리와 폭발적인 가창력 무대를 사로잡는 강렬한 존재감 '차지연',https://www.artsro.com/right/enter_view.html?GoIdx=611&CatNo=81
4815,서영택X오스틴킴,가수,81,웅장한 음색과 강렬한 하모니를 선보이는 남성듀오,https://www.artsro.com/right/enter_view.html?GoIdx=4815&CatNo=81
4779,길병민,가수,81,음악의 길은 마음으로 통한다. 웰컴 투 병민 유니버스!,https://www.artsro.com/right/enter_view.html?GoIdx=4779&CatNo=81
4696,문태국,가수,81,기억이 시작되는 순간부터 항상 첼로가 있었다. 산다는 건 첼로를 하는 것이라 생각했다.,https://www.artsro.com/right/enter_view.html?GoIdx=4696&CatNo=81
4694,손준호&김소현,가수,81,연예계 대표 뮤지컬 부부!,https://www.artsro.com/right/enter_view.html?GoIdx=4694&CatNo=81
4661,이지혜,가수,81,맑고 따뜻한 음색을 가진 꾀꼬리 장인!,https://www.artsro.com/right/enter_view.html?GoIdx=4661&CatNo=81
4572,김수아,가수,81,맑고 깨끗한 연기력을 가진 뮤지컬 배우,https://www.artsro.com/right/enter_view.html?GoIdx=4572&CatNo=81
4570,서광현,가수,81,깊은 감성을 표현하는 사람다운 배우,https://www.artsro.com/right/enter_view.html?GoIdx=4570&CatNo=81
4569,오윤서,가수,81,실력파 뮤지컬 배우,https://www.artsro.com/right/enter_view.html?GoIdx=4569&CatNo=81
4567,신은총,가수,81,대한민국의 뮤지컬 배우,https://www.artsro.com/right/enter_view.html?GoIdx=4567&CatNo=81
4565,조원석,가수,81,맑은 눈을 가진 실력파 뮤지컬 배우,https://www.artsro.com/right/enter_view.html?GoIdx=4565&CatNo=81
4563,최경록,가수,81,대한민국의 뮤지컬 배우,https://www.artsro.com/right/enter_view.html?GoIdx=4563&CatNo=81
4562,김바울,가수,81,JTBC 팬텀싱어 3 라비던스 팀 준우승,https://www.artsro.com/right/enter_view.html?GoIdx=4562&CatNo=81
4561,유승엽,가수,81,대한민국의 뮤지컬 배우,https://www.artsro.com/right/enter_view.html?GoIdx=4561&CatNo=81
4557,권가민,가수,81,너의 목소리가 보여 시즌8 11회 우승자,https://www.artsro.com/right/enter_view.html?GoIdx=4557&CatNo=81
4556,박슬기,가수,81,제11회 대구국제뮤지컬 페스티벌(DIMF) 연기상 수상자,https://www.artsro.com/right/enter_view.html?GoIdx=4556&CatNo=81
4555,나하나,가수,81,2023 대구국제뮤지컬페스티벌 신인상 수상자,https://www.artsro.com/right/enter_view.html?GoIdx=4555&CatNo=81
4548,유소리,가수,81,안정적인 가창과 탄탄한 기본기를 바탕으로 성장세가 돋보이는 배우,https://www.artsro.com/right/enter_view.html?GoIdx=4548&CatNo=81
4547,장윤석,가수,81,탄탄한 기량과 안정적인 무대 운영 능력을 겸비한 신뢰도 높은 배우,https://www.artsro.com/right/enter_view.html?GoIdx=4547&CatNo=81
4546,박시인,가수,81,뮤지컬을 중심으로 다양한 장르에서 활약 중인 실력파 배우,https://www.artsro.com/right/enter_view.html?GoIdx=4546&CatNo=81
4545,김성식,가수,81,탄탄한 가창력과 섬세한 연기를 겸비한 신뢰도 높은 배우,https://www.artsro.com/right/enter_view.html?GoIdx=4545&CatNo=81
4544,이아름솔,가수,81,탄탄한 연기력과 안정적인 가창력을 바탕으로 신뢰받는 배우,https://www.artsro.com/right/enter_view.html?GoIdx=4544&CatNo=81
4543,전수미,가수,81,오랜 무대 경험을 바탕으로 작품의 완성도를 끌어올리는 신뢰받는 배우,https://www.artsro.com/right/enter_view.html?GoIdx=4543&CatNo=81
